spikes,icis,rep
1554.83333333334,128,2
1748.73333333334,128,2
2017.3,128,2
17.2333333334245,256,2
450.333333333423,256,2
644.000000000087,256,2
739.200000000092,256,2
755.633333333426,256,2
1438.4000000001,256,2
1862.20000000009,256,2
2024.10000000009,256,2
2047.83333333342,256,2
2476.66666666676,256,2
2609.20000000009,256,2
2626.73333333342,256,2
2628.86666666676,256,2
2633.03333333342,256,2
2843.16666666676,256,2
2919.66666666676,256,2
-888.866666666698,1,3
-855.700000000026,1,3
-836.300000000032,1,3
-784.333333333372,1,3
-650.933333333363,1,3
-613.000000000029,1,3
-519.966666666689,1,3
47.6666666666424,1,3
68.8333333332994,1,3
137.599999999977,1,3
344.39999999998,1,3
405.199999999983,1,3
659.699999999968,1,3
814.466666666631,1,3
1174.19999999997,1,3
1232.29999999996,1,3
1308.69999999997,1,3
1580.93333333331,1,3
1670.3333333333,1,3
1866.3333333333,1,3
1900.96666666663,1,3
2066.96666666665,1,3
2070.26666666663,1,3
2097.6333333333,1,3
2163.8333333333,1,3
2636.19999999997,1,3
2774.16666666664,1,3
2937.29999999997,1,3
-805.899999999921,2,3
-643.999999999927,2,3
-381.499999999913,2,3
-351.466666666587,2,3
-329.133333333244,2,3
-87.7666666665755,2,3
-83.1333333332441,2,3
-22.4666666665871,2,3
6.6333333334187,2,3
18.9333333334216,2,3
21.5000000000873,2,3
213.366666666741,2,3
317.333333333401,2,3
333.000000000087,2,3
594.500000000087,2,3
761.73333333341,2,3
1368.43333333341,2,3
1383.96666666675,2,3
1475.26666666675,2,3
1737.76666666675,2,3
2276.03333333341,2,3
2283.33333333342,2,3
2307.80000000009,2,3
2804.60000000008,2,3
-181.099999999962,4,3
677.466666666704,4,3
1335.6666666667,4,3
1952.03333333337,4,3
2105.4666666667,4,3
2198.43333333338,4,3
2440.20000000004,4,3
2645.40000000004,4,3
2670.00000000003,4,3
2682.06666666671,4,3
2765.93333333336,4,3
2789.13333333338,4,3
2815.63333333338,4,3
-945.533333333267,8,3
-473.166666666599,8,3
-335.199999999924,8,3
-172.066666666593,8,3
871.333333333401,8,3
2107.2333333334,8,3
2319.46666666673,8,3
2481.36666666673,8,3
2743.86666666674,8,3
2773.90000000007,8,3
2796.23333333341,8,3
-895.966666666558,16,3
-871.366666666567,16,3
-859.299999999886,16,3
-775.433333333232,16,3
-752.233333333221,16,3
-725.733333333221,16,3
-349.63333333323,16,3
-225.966666666573,16,3
1660.13333333343,16,3
2199.86666666677,16,3
2283.10000000011,16,3
2557.10000000011,16,3
2793.63333333345,16,3
-980.299999999886,32,3
-746.066666666564,32,3
-563.933333333232,32,3
-557.199999999895,32,3
-87.099999999904,32,3
461.633333333433,32,3
478.233333333439,32,3
549.200000000099,32,3
614.166666666773,32,3
671.066666666768,32,3
743.200000000114,32,3
1142.83333333343,32,3
1208.16666666677,32,3
1745.8000000001,32,3
1765.0000000001,32,3
1766.5000000001,32,3
1794.76666666676,32,3
1896.90000000011,32,3
2316.06666666678,32,3
2340.40000000011,32,3
2360.03333333344,32,3
2407.26666666676,32,3
2548.7000000001,32,3
-843.999999999956,64,3
-836.699999999953,64,3
-812.233333333279,64,3
-315.433333333291,64,3
137.500000000044,64,3
425.566666666709,64,3
453.866666666712,64,3
460.833333333387,64,3
642.133333333375,64,3
718.000000000044,64,3
787.100000000049,64,3
1016.13333333339,64,3
1043.30000000005,64,3
1298.80000000005,64,3
1386.80000000005,64,3
1798.93333333338,64,3
1929.03333333338,64,3
2078.23333333338,64,3
2139.76666666672,64,3
2374.00000000004,64,3
2556.13333333338,64,3
2562.86666666671,64,3
-864.433333333349,128,3
-863.666666666686,128,3
-606.666666666679,128,3
-431.500000000015,128,3
-329.766666666685,128,3
-128.433333333349,128,3
-114.10000000002,128,3
106.766666666648,128,3
165.466666666645,128,3
232.466666666653,128,3
249.93333333332,128,3
268.333333333321,128,3
378.299999999981,128,3
633.566666666658,128,3
670.466666666638,128,3
902.199999999975,128,3
1053.26666666664,128,3
1293.23333333332,128,3
1323.19999999999,128,3
1385.99999999998,128,3
1426.29999999998,128,3
1472.33333333331,128,3
1530.96666666664,128,3
1590.19999999999,128,3
1724.39999999997,128,3
2011.69999999998,128,3
2064.93333333331,128,3
2938.96666666665,128,3
-909.500000000029,256,3
-826.266666666692,256,3
-552.266666666692,256,3
-315.733333333352,256,3
-67.3333333333721,256,3
94.8333333333139,256,3
111.099999999977,256,3
329.666666666642,256,3
336.099999999977,256,3
574.766666666634,256,3
945.266666666634,256,3
1544.23333333331,256,3
1791.66666666664,256,3
2225.86666666664,256,3
2259.03333333331,256,3
2278.43333333331,256,3
2330.39999999997,256,3
2463.79999999997,256,3
2501.73333333331,256,3
