spikes,icis,rep
-932.1666667,1,1
-726.8,1,1
-306.6666667,1,1
-206.6666667,1,1
31.4,1,1
169,1,1
276.9666667,1,1
412.6,1,1
558.6666667,1,1
1325.633333,1,1
1525.466667,1,1
1851.233333,1,1
2038.966667,1,1
2424.4,1,1
2843.033333,1,1
2860.3,1,1
-394.5333333,2,1
-366.9333333,2,1
-234.7,2,1
-101.0666667,2,1
-73.43333333,2,1
29.83333333,2,1
194.6333333,2,1
253.7333333,2,1
293.7333333,2,1
851.0666667,2,1
968.1666667,2,1
1023.633333,2,1
1195.1,2,1
1374.666667,2,1
1507.6,2,1
2034.633333,2,1
2225.2,2,1
2430.566667,2,1
2850.7,2,1
2950.7,2,1
-903.7,4,1
-833.4,4,1
-205.1666667,4,1
-46.46666667,4,1
17.46666667,4,1
389.2666667,4,1
770.4,4,1
1296.266667,4,1
1335.933333,4,1
1460.133333,4,1
1887.733333,4,1
1902.1,4,1
2075.466667,4,1
2160.6,4,1
2625.933333,4,1
-882.1333333,8,1
-755.4666667,8,1
-365.8333333,8,1
868.7333333,8,1
948.1666667,8,1
952.9,8,1
1865.7,8,1
1977,8,1
2207.833333,8,1
2317.033333,8,1
2332.066667,8,1
2362.333333,8,1
2512.366667,8,1
2578.033333,8,1
2797.5,8,1
-808.6,16,1
-530.8666667,16,1
-427.6,16,1
-194.9,16,1
17.3,16,1
26.5,16,1
307.1666667,16,1
722.4,16,1
1291.7,16,1
1748.833333,16,1
1757.3,16,1
2093.966667,16,1
2232.333333,16,1
2302.633333,16,1
2930.866667,16,1
-706.3333333,32,1
-287.7,32,1
-270.4333333,32,1
-51.46666667,32,1
470.5333333,32,1
1005.6,32,1
2306.1,32,1
2583.833333,32,1
2687.1,32,1
2919.8,32,1
-943.4333333,64,1
-478.1,64,1
299.9666667,64,1
427.6333333,64,1
484.8333333,64,1
547,64,1
562.0666667,64,1
700.3666667,64,1
844.7,64,1
974,64,1
1046.2,64,1
1830.7,64,1
1982.366667,64,1
2114.233333,64,1
2276.166667,64,1
2620.833333,64,1
-995.1666667,128,1
-833.2333333,128,1
-488.5666667,128,1
-76.63333333,128,1
164.1333333,128,1
644.9666667,128,1
956.7,128,1
961.6666667,128,1
1207.666667,128,1
1276.1,128,1
1325.2,128,1
1725.533333,128,1
1984.033333,128,1
2283.566667,128,1
2443.4,128,1
2595.666667,128,1
2807.3,128,1
-825.8,256,1
-665.9666667,256,1
-513.7,256,1
-302.0666667,256,1
23.2,256,1
303.1,256,1
475.6,256,1
813.2666667,256,1
1315.133333,256,1
1478.333333,256,1
1488.866667,256,1
2227.233333,256,1
2353.9,256,1
2743.533333,256,1
-988.1333333,1,2
-942.8333333,1,2
-925.4,1,2
-831,1,2
-492.3333333,1,2
-490.2666667,1,2
-380.3666667,1,2
-77.06666667,1,2
243.1333333,1,2
572.4666667,1,2
603.0333333,1,2
702.7,1,2
1718.966667,1,2
2042.666667,1,2
2043.866667,1,2
2340.266667,1,2
2612.933333,1,2
2788.1,1,2
-758.7666667,2,2
-658.9333333,2,2
-489.2333333,2,2
-376.6666667,2,2
25,2,2
124.7,2,2
695.9333333,2,2
709.1333333,2,2
1014.1,2,2
1590.233333,2,2
2030.733333,2,2
2255.6,2,2
2256.366667,2,2
2513.366667,2,2
2688.533333,2,2
2790.266667,2,2
2991.6,2,2
-951.0333333,4,2
-826.9,4,2
-803.3333333,4,2
-629.5333333,4,2
-556,4,2
-77.73333333,4,2
-57.73333333,4,2
19.76666667,4,2
625.6,4,2
954.1666667,4,2
1077.266667,4,2
1380.9,4,2
1445.433333,4,2
1701.633333,4,2
1894.166667,4,2
1939.833333,4,2
2330.466667,4,2
2503.633333,4,2
2620.366667,4,2
2987.8,4,2
-774.4666667,8,2
-501.8,8,2
-326.6333333,8,2
-110.5333333,8,2
1105.666667,8,2
1994.066667,8,2
2032.766667,8,2
2345.266667,8,2
2445.1,8,2
2614.8,8,2
2727.366667,8,2
-789.5666667,16,2
-616.4,16,2
-499.6666667,16,2
-132.2333333,16,2
-49.23333333,16,2
-47.63333333,16,2
937.2,16,2
995.3,16,2
1006.333333,16,2
1415.266667,16,2
1518.5,16,2
1528.1,16,2
1644.866667,16,2
