amps,cell,dur,expt,freqs,rep,spikes
40,1,25,tuning_curve,5656.85,3,68.3000000006757
40,1,25,tuning_curve,8000,3,15.0000000002137
40,1,25,tuning_curve,8000,3,22.2333333335456
40,1,25,tuning_curve,16000,3,-7.59999999162631
40,1,25,tuning_curve,16000,3,6.10000000837374
40,1,25,tuning_curve,16000,3,16.9666666750459
40,1,25,tuning_curve,45254.8,3,-94.8000000027065
55,1,25,tuning_curve,2000,3,-81.4333333357098
55,1,25,tuning_curve,2828.43,3,6.79999999827885
55,1,25,tuning_curve,2828.43,3,33.3666666649464
55,1,25,tuning_curve,16000,3,-98.6333333338933
55,1,25,tuning_curve,64000,3,-52.8333333325151
55,1,25,tuning_curve,64000,3,57.4666666674801
70,1,25,tuning_curve,-1,3,27.9999999990821
70,1,25,tuning_curve,-1,3,32.2333333324138
70,1,25,tuning_curve,1000,3,-56.0666666612661
70,1,25,tuning_curve,16000,3,80.5000000064382
70,1,25,tuning_curve,32000,3,-16.9666666655104
70,1,25,tuning_curve,32000,3,14.1000000011502
70,1,25,tuning_curve,45254.8,3,58.2333333329359
40,1,25,tuning_curve,1414.21,4,-58.5666666649729
40,1,25,tuning_curve,1414.21,4,1.40000000169493
40,1,25,tuning_curve,11313.7,4,0.433333333461405
40,1,25,tuning_curve,11313.7,4,17.8666666667766
40,1,25,tuning_curve,22627.4,4,-70.3000000035416
40,1,25,tuning_curve,45254.8,4,-38.1000000032259
55,1,25,tuning_curve,4000,4,-31.9666666620151
55,1,25,tuning_curve,8000,4,-11.2666666672681
55,1,25,tuning_curve,16000,4,74.5666666639693
55,1,25,tuning_curve,22627.4,4,-36.9333333343604
55,1,25,tuning_curve,45254.8,4,0.70000000388859
70,1,25,tuning_curve,1414.21,4,-28.6000000005515
70,1,25,tuning_curve,1414.21,4,56.3999999994564
70,1,25,tuning_curve,2000,4,-87.966666659355
70,1,25,tuning_curve,2000,4,-78.1999999926768
70,1,25,tuning_curve,2000,4,-28.4333333260349
70,1,25,tuning_curve,2828.43,4,-18.4333333282041
70,1,25,tuning_curve,4000,4,-53.1666666663426
70,1,25,tuning_curve,4000,4,53.9666666669802
70,1,25,tuning_curve,4000,4,60.5666666669862
70,1,25,tuning_curve,4000,4,62.0333333336447
70,1,25,tuning_curve,4000,4,87.3666666669806
70,1,25,tuning_curve,8000,4,10.4333333431441
70,1,25,tuning_curve,8000,4,79.4000000098123
70,1,25,tuning_curve,11313.7,4,94.6333333412213
70,1,25,tuning_curve,32000,4,-59.83333333198
70,1,25,tuning_curve,32000,4,-24.2333333319777
70,1,25,tuning_curve,64000,4,56.1666666723397
40,1,25,tuning_curve,-1,5,-18.2999999905462
40,1,25,tuning_curve,1000,5,-92.1666666666852
40,1,25,tuning_curve,1000,5,19.7666666666407
40,1,25,tuning_curve,2000,5,-50.3666666678555
40,1,25,tuning_curve,2000,5,71.3999999987891
40,1,25,tuning_curve,2828.43,5,-59.733333333952
40,1,25,tuning_curve,2828.43,5,-27.3000000005936
40,1,25,tuning_curve,5656.85,5,37.4666666683083
40,1,25,tuning_curve,16000,5,-40.4333333249554
40,1,25,tuning_curve,32000,5,-35.1999999916188
40,1,25,tuning_curve,45254.8,5,-26.2999999950466
40,1,25,tuning_curve,45254.8,5,-2.79999999503389
40,1,25,tuning_curve,64000,5,11.7999999959864
55,1,25,tuning_curve,-1,5,36.1666666711642
55,1,25,tuning_curve,2828.43,5,-79.5666666700754
55,1,25,tuning_curve,11313.7,5,-26.9333333249904
55,1,25,tuning_curve,22627.4,5,-49.9000000012586
70,1,25,tuning_curve,-1,5,13.0000000021937
70,1,25,tuning_curve,-1,5,27.433333335523
70,1,25,tuning_curve,-1,5,33.7666666688676
70,1,25,tuning_curve,1000,5,99.900000001611
70,1,25,tuning_curve,1414.21,5,-44.8666666678719
70,1,25,tuning_curve,1414.21,5,-29.0333333345529
70,1,25,tuning_curve,2000,5,-63.0000000023188
70,1,25,tuning_curve,2828.43,5,-81.3333333312301
70,1,25,tuning_curve,2828.43,5,63.7333333354491
70,1,25,tuning_curve,2828.43,5,76.6000000021165
70,1,25,tuning_curve,8000,5,-58.6000000006095
70,1,25,tuning_curve,8000,5,-38.2333333339204
70,1,25,tuning_curve,11313.7,5,38.1333333399994
70,1,25,tuning_curve,22627.4,5,-92.7666666700873
70,1,25,tuning_curve,45254.8,5,-16.2333333260847
70,1,25,tuning_curve,64000,5,-85.3666666666584
70,1,25,tuning_curve,64000,5,-18.0666666666411
70,1,25,tuning_curve,64000,5,-2.96666666665146
70,1,25,tuning_curve,64000,5,59.6000000000174
40,1,25,tuning_curve,1000,6,-95.8666666650174
40,1,25,tuning_curve,4000,6,-95.1999999939233
40,1,25,tuning_curve,4000,6,-7.89999999392421
40,1,25,tuning_curve,45254.8,6,-87.900000003458
40,1,25,tuning_curve,64000,6,65.4333333366992
55,1,25,tuning_curve,1414.21,6,-75.3999999950281
55,1,25,tuning_curve,1414.21,6,-6.9999999950312
55,1,25,tuning_curve,4000,6,-9.13333333224386
55,1,25,tuning_curve,5656.85,6,-67.9000000022825
55,1,25,tuning_curve,5656.85,6,-50.0333333356195
55,1,25,tuning_curve,5656.85,6,-33.5666666689463
55,1,25,tuning_curve,45254.8,6,-69.2333333254851
70,1,25,tuning_curve,-1,6,15.0666666637846
70,1,25,tuning_curve,-1,6,31.0999999971386
