cell,expt,isi,n_pulses,pulse_width,rep,spikes,type
1,pinp,NaN,NaN,20,16,-174.33333333333,pulse
1,pinp,NaN,NaN,20,16,-129.233333333332,pulse
1,pinp,NaN,NaN,20,17,206.099999999992,pulse
1,pinp,NaN,NaN,20,17,1104.29999999999,pulse
1,pinp,NaN,NaN,20,18,133.100000000006,pulse
1,pinp,NaN,NaN,20,18,315.433333333338,pulse
1,pinp,NaN,NaN,20,18,757.533333333335,pulse
1,pinp,NaN,NaN,20,18,924.76666666667,pulse
1,pinp,NaN,NaN,20,19,275.133333333329,pulse
1,pinp,NaN,NaN,20,19,302.399999999999,pulse
1,pinp,NaN,NaN,20,19,863.500000000002,pulse
1,pinp,NaN,NaN,20,19,1360.53333333333,pulse
1,pinp,NaN,NaN,20,19,1575.46666666666,pulse
1,pinp,NaN,NaN,20,20,-66.5000000000049,pulse
1,pinp,NaN,NaN,20,20,224.466666666657,pulse
1,pinp,NaN,NaN,20,20,451.199999999993,pulse
1,pinp,NaN,NaN,20,20,653.733333333328,pulse
1,pinp,NaN,NaN,20,20,755.399999999995,pulse
1,pinp,NaN,NaN,20,20,852.366666666661,pulse
1,pinp,NaN,NaN,20,20,1170.9,pulse
1,pinp,NaN,NaN,20,20,1521.03333333333,pulse
1,pinp,NaN,NaN,20,21,-363.399999999999,pulse
1,pinp,NaN,NaN,20,21,-145.499999999998,pulse
1,pinp,NaN,NaN,20,21,-111.866666666664,pulse
1,pinp,NaN,NaN,20,21,72.33333333334,pulse
1,pinp,NaN,NaN,20,21,1039.80000000001,pulse
1,pinp,NaN,NaN,20,21,1124.13333333334,pulse
1,pinp,NaN,NaN,20,21,1463.5,pulse
1,pinp,NaN,NaN,20,21,1556.63333333334,pulse
1,pinp,NaN,NaN,20,21,1643.83333333333,pulse
1,pinp,NaN,NaN,20,21,1693.86666666667,pulse
1,pinp,NaN,NaN,20,22,-537.400000000005,pulse
1,pinp,NaN,NaN,20,22,-487.366666666667,pulse
1,pinp,NaN,NaN,20,22,1362.9,pulse
1,pinp,NaN,NaN,20,23,-323.233333333334,pulse
1,pinp,NaN,NaN,20,23,-127.766666666666,pulse
1,pinp,NaN,NaN,20,23,940.666666666665,pulse
1,pinp,NaN,NaN,20,23,979.799999999997,pulse
1,pinp,NaN,NaN,20,23,1047.1,pulse
1,pinp,NaN,NaN,20,23,1354.29999999999,pulse
1,pinp,NaN,NaN,20,23,1511.3,pulse
1,pinp,NaN,NaN,20,24,643.933333333337,pulse
1,pinp,NaN,NaN,20,24,1331.86666666667,pulse
1,pinp,NaN,NaN,20,24,1561.2,pulse
1,pinp,NaN,NaN,20,25,-317.033333333335,pulse
1,pinp,NaN,NaN,20,25,636.299999999999,pulse
1,pinp,NaN,NaN,20,25,726.999999999997,pulse
1,pinp,NaN,NaN,20,25,917.633333333328,pulse
1,pinp,NaN,NaN,20,25,1027.16666666666,pulse
1,pinp,NaN,NaN,20,25,1089.29999999999,pulse
1,pinp,NaN,NaN,20,25,1431.76666666666,pulse
1,pinp,NaN,NaN,20,26,1507.2,pulse
1,pinp,NaN,NaN,20,26,1573.23333333333,pulse
1,pinp,NaN,NaN,20,27,-106.099999999998,pulse
1,pinp,NaN,NaN,20,27,113.866666666667,pulse
1,pinp,NaN,NaN,20,27,380.03333333333,pulse
1,pinp,NaN,NaN,20,27,622.100000000003,pulse
1,pinp,NaN,NaN,20,27,641.599999999997,pulse
1,pinp,NaN,NaN,20,27,670.533333333331,pulse
1,pinp,NaN,NaN,20,27,1232.06666666667,pulse
1,pinp,NaN,NaN,20,27,1585.96666666666,pulse
1,pinp,NaN,NaN,20,27,1593.83333333334,pulse
1,pinp,NaN,NaN,20,28,-595.300000000009,pulse
1,pinp,NaN,NaN,20,28,-587.433333333337,pulse
1,pinp,NaN,NaN,20,28,0.0333333333273345,pulse
1,pinp,NaN,NaN,20,28,91.0999999999902,pulse
1,pinp,NaN,NaN,20,28,109.233333333329,pulse
1,pinp,NaN,NaN,20,28,336.199999999991,pulse
1,pinp,NaN,NaN,20,28,649.866666666661,pulse
1,pinp,NaN,NaN,20,28,652.433333333327,pulse
1,pinp,NaN,NaN,20,28,683.266666666661,pulse
1,pinp,NaN,NaN,20,28,1059.56666666665,pulse
1,pinp,NaN,NaN,20,28,1197.26666666666,pulse
1,pinp,NaN,NaN,20,28,1491.16666666666,pulse
1,pinp,NaN,NaN,20,28,1750.13333333332,pulse
1,pinp,NaN,NaN,20,29,-431.333333333342,pulse
