spikes,type,rep,pulse_width,isi,n_pulses,expt,cell
-174.33333333333,pulse,16,20,NaN,NaN,pinp,1
-129.233333333332,pulse,16,20,NaN,NaN,pinp,1
206.099999999992,pulse,17,20,NaN,NaN,pinp,1
1104.29999999999,pulse,17,20,NaN,NaN,pinp,1
133.100000000006,pulse,18,20,NaN,NaN,pinp,1
315.433333333338,pulse,18,20,NaN,NaN,pinp,1
757.533333333335,pulse,18,20,NaN,NaN,pinp,1
924.76666666667,pulse,18,20,NaN,NaN,pinp,1
275.133333333329,pulse,19,20,NaN,NaN,pinp,1
302.399999999999,pulse,19,20,NaN,NaN,pinp,1
863.500000000002,pulse,19,20,NaN,NaN,pinp,1
1360.53333333333,pulse,19,20,NaN,NaN,pinp,1
1575.46666666666,pulse,19,20,NaN,NaN,pinp,1
-66.5000000000049,pulse,20,20,NaN,NaN,pinp,1
224.466666666657,pulse,20,20,NaN,NaN,pinp,1
451.199999999993,pulse,20,20,NaN,NaN,pinp,1
653.733333333328,pulse,20,20,NaN,NaN,pinp,1
755.399999999995,pulse,20,20,NaN,NaN,pinp,1
852.366666666661,pulse,20,20,NaN,NaN,pinp,1
1170.9,pulse,20,20,NaN,NaN,pinp,1
1521.03333333333,pulse,20,20,NaN,NaN,pinp,1
-363.399999999999,pulse,21,20,NaN,NaN,pinp,1
-145.499999999998,pulse,21,20,NaN,NaN,pinp,1
-111.866666666664,pulse,21,20,NaN,NaN,pinp,1
72.33333333334,pulse,21,20,NaN,NaN,pinp,1
1039.80000000001,pulse,21,20,NaN,NaN,pinp,1
1124.13333333334,pulse,21,20,NaN,NaN,pinp,1
1463.5,pulse,21,20,NaN,NaN,pinp,1
1556.63333333334,pulse,21,20,NaN,NaN,pinp,1
1643.83333333333,pulse,21,20,NaN,NaN,pinp,1
1693.86666666667,pulse,21,20,NaN,NaN,pinp,1
-537.400000000005,pulse,22,20,NaN,NaN,pinp,1
-487.366666666667,pulse,22,20,NaN,NaN,pinp,1
1362.9,pulse,22,20,NaN,NaN,pinp,1
-323.233333333334,pulse,23,20,NaN,NaN,pinp,1
-127.766666666666,pulse,23,20,NaN,NaN,pinp,1
940.666666666665,pulse,23,20,NaN,NaN,pinp,1
979.799999999997,pulse,23,20,NaN,NaN,pinp,1
1047.1,pulse,23,20,NaN,NaN,pinp,1
1354.29999999999,pulse,23,20,NaN,NaN,pinp,1
1511.3,pulse,23,20,NaN,NaN,pinp,1
643.933333333337,pulse,24,20,NaN,NaN,pinp,1
1331.86666666667,pulse,24,20,NaN,NaN,pinp,1
